road_type_score,avg_speed_kmh,turn_count,elevation_gain_m,weather_score,time_of_day_score,distance_km,sharp_turn_count,u_turn_count,intersection_count,signal_count,roundabout_count,lane_change_count,traffic_density_score,comfort_score
0.7,45.42719682496979,54,222.46204108428995,0.5172518254386435,0.75,39.713764026547004,0,1,57,25,2,8,0.4928793334122869,50.418026857306444
1.0,52.60920934375193,35,100.64766179009665,0.04947819105413931,0.75,22.743489092265424,17,1,37,13,7,3,0.4184461069681037,57.23434064039765
0.85,86.90926538819623,36,108.88163376760147,0.8815352980116816,0.75,43.02462207014866,14,4,50,23,6,9,0.9948701205947288,59.969866977441434
0.85,40.60039474539029,13,151.94882886123042,0.3432496908055924,0.75,2.220284836751039,18,4,20,9,1,3,0.803287468882657,58.72096750391876
0.55,88.26847163309542,26,108.29082409456205,0.8563373248357075,0.75,5.0912584699276815,13,4,35,11,6,2,0.5883157064099502,56.39077361464017
0.55,17.932098787902234,30,235.0405654314947,0.7016563687448438,0.95,39.0412385561164,5,2,31,8,1,9,0.2400027179063729,47.948895260682114
0.55,79.91185934877677,72,292.4210832304847,0.766172589297181,0.75,31.580391763686283,17,2,78,27,7,2,0.3532925420111004,43.39170844729367
1.0,86.27928697492626,43,175.35645463145792,0.31454449453892275,0.75,28.391992428140398,7,0,52,25,4,2,0.43902274021838067,57.575660399723944
0.85,26.36358875536049,67,133.81119830025867,0.22774393983405516,0.75,31.084961559590095,4,2,74,21,0,6,0.5897572812530281,43.158893724610465
0.85,48.73118791349804,47,66.83224208046515,0.40674055384111485,0.95,46.579340743685385,7,0,51,19,6,4,0.5977998732519676,52.11568965558252
0.35,24.894979719729008,56,196.03002577434006,0.024225862412799337,0.75,33.12131454046524,5,1,62,25,0,8,0.219786690578618,31.187374885158533
1.0,73.5943716094796,74,205.67305854461912,0.9187556768683495,0.75,32.72632971633196,9,0,85,22,5,1,0.9546850160135796,64.64397464072084
1.0,58.1812991255491,21,205.55718210430913,0.38701426596612454,0.75,38.21407310560516,2,0,29,10,2,3,0.6342457435508049,66.13895051002486
0.55,67.1791012037489,3,8.095510760547697,0.988556604843565,0.95,43.46441457635151,12,4,15,4,2,1,0.21578173358830838,69.22270918809527
0.55,27.683827026059003,71,269.73663019814126,0.7614494208074128,0.75,13.833711433679392,6,2,78,35,5,7,0.7610681553404361,42.590853714098905
0.55,29.057127584717758,45,101.431969028753,0.08051500979931048,0.75,31.220694102431896,3,3,49,20,1,3,0.2570812095339882,37.72298509857474
0.7,13.734759295891573,58,223.24972874448272,0.6601882778425759,0.95,29.61477321407129,12,3,61,27,3,0,0.7769363399001847,37.828171494400195
0.85,38.98607816761567,33,227.94207213009597,0.2708391648379551,0.95,7.607624593418784,5,4,35,9,5,9,0.7611939846622211,55.58088332852828
0.7,60.37701952003074,10,195.16649364367186,0.24371864558138012,0.95,26.495531721624886,15,1,24,5,7,2,0.9879385312574971,59.36979317550683
0.7,87.2141422597596,30,118.45995694328765,0.25656266990321286,0.4,4.407975222282802,0,1,44,20,6,6,0.4736299352064375,63.750217556630346
0.85,70.02347027128127,10,182.51526504495766,0.916075048692817,0.75,10.063019782714642,12,1,15,4,0,2,0.31546183324496674,64.44515145681036
0.55,49.18566910597763,55,12.059607377362969,0.4999801760713749,0.75,45.73519101399084,1,0,58,14,0,4,0.27349541811622696,46.91968621481525
0.7,95.7808102954724,37,228.56873765637187,0.6694708988116058,0.75,6.842915895574831,19,2,47,10,3,1,0.2573808561385558,53.6484473824753
0.7,74.73206805182487,20,29.876594498501674,0.2809478257997007,0.95,29.36689869249293,18,1,23,8,0,7,0.8482665615350502,68.36327766664964
0.7,93.7148682576295,9,119.02527773988051,0.5229544551851182,0.95,16.850554103660606,5,3,21,5,0,3,0.774838455862179,76.54029348810396
0.85,57.48291759449491,25,31.08563629948997,0.3501001382111898,0.75,28.210351245604013,10,0,31,11,6,0,0.9807321733815126,67.36539494845917
0.55,33.30138473138256,7,251.12233374572835,0.32113904039640073,0.4,12.513703580167752,16,1,20,8,7,3,0.44734883201262216,45.634370695803426
0.85,14.754401772824979,7,165.09071803078777,0.24696884797021224,0.4,22.774593279205348,8,1,21,7,1,7,0.8424819625558744,57.891196339178414
0.85,75.34763663354654,59,207.28653605078173,0.40900689849340055,0.75,43.49933822426477,4,2,68,32,0,8,0.2744112763561873,51.79219889641749
0.35,20.91726982049807,71,204.7746509527839,0.6600301106300229,0.4,19.43463191314846,4,2,83,20,2,0,0.9231039139346815,32.61665470718236
0.85,37.249761544477046,33,252.48186949755134,0.222043776067109,0.75,18.298515962045848,15,0,37,12,2,5,0.24146424704765562,44.00594103157798
0.55,57.92238170955076,15,39.770821003540405,0.9654439868773501,0.75,22.8597858842136,3,3,15,3,4,3,0.8303067859264786,71.31140856146533
0.55,60.79749290017729,12,197.91844212146523,0.12461167646366667,0.95,5.924149367971448,19,4,24,11,1,7,0.4458844198687928,46.91993071018871
1.0,64.05248772884224,75,172.5402163210972,0.4802072077214363,0.4,19.98000420481469,12,3,79,37,1,0,0.34495440524028254,44.11268948752673
1.0,24.962979731473055,21,9.269136771394615,0.0850282163553494,0.75,1.3381122807801131,16,2,33,10,7,4,0.7636116221732339,54.713644143218524
1.0,44.17636643394839,26,60.42687264684077,0.02266532106900998,0.95,25.66646011229864,8,2,31,9,7,0,0.9167024254180174,65.26702869097792
0.7,65.54748044052701,63,80.27146241346624,0.9226773196983634,0.75,42.54911287842004,12,4,63,17,7,3,0.8113008315066301,48.880650867062904
0.55,97.28369781704063,1,21.766912628749846,0.8103847939506341,0.4,28.05158209343396,15,3,3,1,2,1,0.45047995605800484,66.96787869448332
0.85,75.48680239297198,25,106.41594176964044,0.6941553731255583,0.4,30.778533732094953,19,3,30,12,1,9,0.482856523915949,60.522471645599246
0.7,93.0343381384562,68,8.160752614642707,0.8651908131499447,0.95,2.4976051917285527,9,4,81,37,7,8,0.3514436759111845,49.65340402694083
0.55,78.59908524827594,29,165.95504767731887,0.8028484229697286,0.75,43.11623402568768,9,2,43,10,6,1,0.859249274304831,57.64034780675006
0.7,63.25452720031604,7,63.45028817393619,0.6472377209863922,0.95,19.86517408721267,19,0,21,7,1,3,0.28567490746328805,66.77416934527389
0.35,27.282103222271008,37,86.10093165275958,0.8473423257683692,0.4,48.76778134972863,15,3,43,17,4,2,0.9225711418150002,37.05472121553711
1.0,70.00170867032617,60,273.14148785138525,0.3908005534601052,0.75,6.90280310698274,19,1,66,30,7,0,0.6809073976163211,53.20125660808023
0.7,66.10416093639164,64,150.84505473705764,0.5527518332351261,0.75,47.28892235447665,0,3,70,22,3,0,0.6710839645575974,48.53084345400611
0.85,64.22222534115397,66,80.70417937332476,0.7763106529786457,0.75,32.080254410479824,10,3,74,21,5,1,0.8702571744771563,53.31475741611251
0.7,54.080728118941664,45,179.53852747441988,0.08479801624634664,0.95,3.5646747142391115,12,3,46,21,0,7,0.734026601115737,41.22254083593336
0.85,57.579094359034805,71,60.501430460248685,0.8586454671624839,0.75,48.61325481399983,17,2,73,15,4,1,0.4433914065906248,53.60689183621013
0.85,40.09982744062937,42,22.318705729255463,0.15683045569660503,0.95,1.679780339117942,4,1,48,16,6,0,0.47961209769346125,51.64820668949429
0.55,56.73814233780728,58,6.2719063200806,0.8645412528975391,0.95,36.804308265858566,3,3,63,21,3,5,0.3384433528997087,54.64973523854047
1.0,27.780031511063044,45,285.45871361287686,0.311332871632927,0.75,44.586967471016635,5,0,58,14,0,0,0.5712505935190535,51.81089300171333
0.85,82.46569576243391,71,217.38324724293489,0.32678284596921847,0.75,9.614766157277712,14,1,71,22,2,9,0.28812381259630215,45.24115428991715
1.0,26.719925922883704,34,239.9844444877147,0.07394868986970127,0.75,17.824502344192613,1,4,43,17,3,8,0.7224292058614994,45.20194670878464
1.0,17.646966090051976,38,294.27531845364956,0.8858996238957495,0.75,28.500237686404148,3,0,44,13,7,5,0.3353830728912035,60.25404409105029
0.85,49.26214237214416,50,279.48861102403185,0.17451040239086957,0.75,34.31065500640319,13,4,51,14,7,9,0.891145418464468,45.09826357476438
1.0,69.24766955554557,3,221.07395959125478,0.6300499020370153,0.75,43.72191752193512,3,3,6,2,7,5,0.7603700695426261,76.14977299364695
0.55,49.39451424401872,79,208.1961209457958,0.6439675992535223,0.4,38.29245307303699,17,2,85,42,0,0,0.9132090036250045,36.31590551144738
0.55,34.90787187561777,76,101.054999080613,0.2811515034146459,0.75,18.80322604712795,19,3,79,34,4,6,0.2696247900695122,26.0393741515013
0.35,60.235406550139665,50,31.20517553853064,0.9856609574568044,0.75,41.264270777546756,15,3,55,24,0,2,0.8388074676017618,42.9150251020099
0.7,41.230210187097995,4,172.1167645102728,0.06416621811108492,0.75,48.33775933326365,8,4,17,8,1,0,0.9046437800226743,57.60562285674323
0.7,93.95809211139698,54,172.8759885265777,0.6078720109915183,0.95,12.122322880840166,7,3,66,29,5,8,0.2356558471264413,52.935066061209255
0.7,93.03806256432149,19,285.6711856247232,0.4795439274571891,0.4,4.6306840792670405,10,0,29,14,7,7,0.9992607641609412,70.18640154844972
1.0,55.21346379748859,23,132.7712419985128,0.24548410714727464,0.75,21.9043668651529,13,2,31,13,0,3,0.44051545292658595,59.110839514490074
0.7,39.50955946164326,35,207.2422872918205,0.16355171132294644,0.75,44.18845809391999,16,4,39,15,2,2,0.369376971367281,34.289268251020125
0.7,76.34191725609752,33,172.49118821901652,0.7370843581589864,0.75,8.364283739080541,12,1,35,14,4,1,0.5319241786057849,64.12733474717668
0.85,13.304164913475997,53,53.02806873031478,0.9163148744811864,0.75,44.404111206218495,7,3,58,27,6,1,0.2069083137290762,39.14055040432515
0.55,52.72921054392861,33,177.619292326475,0.10754626195472239,0.75,49.61843816307216,13,4,36,14,3,2,0.9087250607950625,46.43036353205643
1.0,40.26910548433002,16,162.03501280884603,0.19398021210600547,0.75,3.646109313274662,10,3,24,10,7,0,0.41479270605008456,57.41094570968395
0.55,92.84822965922992,4,148.17179817280666,0.9862697472955654,0.75,25.267562318918714,8,3,5,1,7,9,0.6172732002467148,75.83967857809833
1.0,11.08027245454143,17,154.02688009454243,0.015022674237874623,0.75,17.115389240949263,7,4,26,12,0,6,0.6988476156942816,50.25580770562303
0.85,59.753338814651414,54,49.19639158766115,0.5082519696529233,0.75,20.290312891634237,13,0,58,19,4,1,0.8328734366397035,57.30648993973443
0.55,76.65972229599635,52,139.04331936920033,0.5161128500818143,0.75,23.13010286496912,14,1,64,15,2,5,0.4001648905766711,49.489201820110004
0.35,53.65161887716371,49,181.69598154647903,0.26316152514577384,0.75,37.2454938661083,0,3,57,25,6,5,0.7737170939238844,42.78755052946992
1.0,17.68627271464495,71,146.83475960566182,0.6630288804436608,0.4,29.97368545538764,11,0,80,24,5,3,0.29412870483371095,41.86852895909318
0.85,97.5215251025112,78,146.6058585378442,0.9449409064270137,0.4,48.09885332262223,4,3,84,21,3,3,0.7633881343111064,59.0692904625261
0.85,56.62093882384881,44,23.255312937895734,0.45021393095657714,0.75,17.30546536273717,13,3,58,16,6,0,0.935436426046045,57.49230634341726
0.85,65.27676198871103,12,57.2322456050159,0.7494195054011905,0.75,27.533700041654395,15,0,16,3,0,5,0.2680210146825803,68.5737484189885
0.55,31.29488044367566,15,96.2918078326502,0.6460702592714582,0.4,40.85309801575116,18,3,22,4,2,7,0.29336224065220007,46.519176469081266
0.7,53.514827659612344,12,125.80409817777198,0.47294186354171486,0.75,19.278392432690328,15,1,13,4,1,9,0.6457819999445571,60.99671849391453
0.55,48.623454276248964,19,178.1812331575813,0.049812299803204674,0.4,23.79966082993457,6,4,22,10,4,3,0.23712033787438858,39.71913820808586
1.0,16.740625780178537,65,259.0035313569182,0.7417498049572753,0.95,34.56375308157611,2,0,77,25,4,0,0.34991240743115914,51.838845087787526
0.85,19.55443181927205,46,47.749421426596186,0.36325144712146296,0.75,43.17646671161101,7,2,51,19,0,3,0.35215370910771926,44.49644113935262
